Timestamp,What is your username?,What is your discord username?,What score did you get? (view https://gamebanana.com/mods/519339 for score instructions),Submit a link to your journal image or video here!,Do you solemnly swear that you cleared this blind?
6/22/2024 3:39:07,gkk,_bactrianus,860,https://imgur.com/mZ1cHsS,Yes
6/21/2024 12:43:30,Feesh,pufferfeesh_,852,https://imgur.com/a/E75eJPH,Yes
6/21/2024 14:44:53,zzero123,zzero123,836,https://prnt.sc/BNZy7AixZLQv,Yes
6/21/2024 14:27:13,kalypso,khallypso_,818,https://imgur.com/gallery/csc-week-2-aurora-valley-ZGaWHWd,Yes
6/22/2024 9:37:00,Myrtle,Myrtle,812,https://www.bilibili.com/video/BV1sS421d7gP/?share_source=copy_web&vd_source=1554456c676df940f3c0cb3f65102d30,Yes
6/25/2024 19:23:00,daisy,daisy,806,https://prnt.sc/ZP2KYnc6zqL7,Yes
6/24/2024 23:52:38,Pip,pipadmin,800,https://imgur.com/a/PmniMQN,Yes
6/21/2024 18:08:04,Pavlov,pavlov#2626,798,https://imgur.com/a/28AuIwS,Yes
6/22/2024 13:15:48,LarryTheSlime,LarryTheSlime,776,https://youtu.be/qGFuGKGIkZQ,Yes
6/22/2024 10:41:59,Player696103392,Player696103392,762,https://imgur.com/a/pRRr2xQ,Yes
6/22/2024 15:33:48,BloodyOrange,.bloodyorange,744,https://imgur.com/a/celeste-sightread-competition-week-2-intermediate-submission-bloodyorange-jygaRRu,Yes
6/21/2024 14:05:59,evilmc10,evilmc10,718,https://www.twitch.tv/videos/2178037008,Yes
6/21/2024 13:13:21,ImDart,imdartt,676,https://imgur.com/a/tktY9uR,Yes
6/22/2024 9:40:00,gemstonez,gemstonezmusic,650,https://medal.tv/games/celeste/clips/i7z6pdBu0X1SyWUOZ/d1337ieMAxmZ?invite=cr-MSxlNEQsMjY5ODE1NDAs,Yes
6/23/2024 8:00:25,kinota3,kinota3_,602,https://imgur.com/a/xccvcYe,Yes
6/23/2024 15:32:44,Mike23,Mike23,598,https://imgur.com/a/zpv7UFZM,Yes
6/22/2024 13:35:45,P2,P2shka,500,https://imgur.com/zgiuZmO,Yes
6/21/2024 15:18:31,themaydayman,themaydayman,400,https://ibb.co/XsyrX77,Yes
6/21/2024 12:55:11,Ariel :3,alexissoria_,294,https://cdn.discordapp.com/attachments/1249796816254533665/1253784123424899182/SPOILER_20240621154922_1.jpg?ex=66771cf5&is=6675cb75&hm=76b75afa63bbe34aa2f28edc4e17196cabda95541e11205f427b393fb7e6df49&,Yes
6/21/2024 13:41:11,PunningLinguist,PunningLinguist,286,https://dl.imgdrop.io/file/aed8b140-8472-4813-922b-7ce35ef93c9e/2024/06/21/20240621153108_1871f6e5e87c4ad86.jpeg,Yes
6/21/2024 17:05:52,Ghoublai Khan,Ghoublai Khan,166,https://prnt.sc/pO3wR2YQDUkw,Yes
6/22/2024 21:43:19,The Abomination,theabomination0,50,https://prnt.sc/VVkZc71FNX3o,Yes
6/21/2024 13:12:19,PejaDuos,PejaDuos,-48,https://cdn.discordapp.com/attachments/1249796816254533665/1253789441416364123/SPOILER_image.png?ex=667721e9&is=6675d069&hm=6d8503118830b51dd19e57e7009da1e77e15eec6302a28d9f404e447aaca1996&,Yes
